1,H,Hidrogênio,1.00794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,He,Hélio,4.002602:
2,Li,Lítio,6.941;4,Be,Berílio,9.012182;0;0;0;0;;0;0;0;0;0;5,B,Boro,10.811;6,C,Carbono,12.0107;7,N,Nitrogênio,14.0067;8,O, Oxigênio,15.99994;9,F,Flúor,18.9984032;10,Ne,Neônio,20.1797:
11,Na,Sódio,22.98976;12,Mg,Magnésio,24.305;0;0;0;0;0;0;0;0;0;0;13,Al,Alumínio,26.9815386;14,Si,Silício,28.0855;15,P,Fósforo,30.973762;16,S,Enxofre,32.065;17,Cl,Cloro,35.453;18,Ar,Argônio,39.948:
19,K,Potássio,39.0983;20,Ca,Cálcio,40.078;21,Sc,Escândio,44.955912;22,Ti,Titânio,47.867;23,V,Vanádio,50.9415;24,Cr,Cromo,51.9961;25,Mn,Manganês,54.938045;26,Fe,Ferro,55.845;27,Co,Cobalto,58.933195;28,Ni,Níquel,58.6934;29,Cu,Cobre,63.546;30,Zn,Zinco,65.38;31,Ga,Gálio,69.723;32,Ge,Germânio,72.63;33,As,Arsênio,74.9216;34,Se,Selênio,78.96;35,Br,Bromo,79.904;36,Kr,Criptônio,83.798:
37,Rb,Rubídio,85.4678;38,Sr,Estrôncio,87.62;39,Y,Ítrio,88.90585;40,Zr,Zircônio,91.224;41,Nb,Nióbio,92.90638;42,Mo,Molibdênio,95.96;43,Tc,Tecnécio,98;44,Ru,Rutênio,101.07;45,Rh,Ródio,102.9055;46,Pd,Paládio,106.42;47,Ag,Prata,107.8682;48,Cd,Cadímio,112.411;49,In,Índio,114.818;50,Sn,Estanho,118.71;51,Sb,Antimônio,121.76;52,Te,Telúrio,127.6;53,I,Iodo,126.90447;54,Xe,Xenônio,131.293:
55,Cs,Césio,132.9054;56,Ba,Bário,137.327;Lantanídeos;72,Hf,Háfnio,178.49;73,Ta,Tântalo,180.94788;74,W,Tungstênio,183.84;75,Re,Rênio,186.207;76,Os,Ósmio,190.23;77,Ir,Irídio,192.217;78,Pt,Platina,195.084;79,Au,Ouro,198.966569;80,Hg,Mercúrio,200.59;81,Ti,Tálio,204.3833;82,Pb,Chumbo,207.2;83,Bi,Bismuto,208.9804;84,Po,Polônio,209;85,At,Astato,210;86,Rn,Radônio,222:
87,Fr,Frâncio,223;88,Ra,Rádio,226;Actinídeos;104,Rf,Rutherfórdio,267;105,Db,Dúbnio,268;106,Sg,Seabórgio,271;107,Bh,Bóhrio,272;108,Hs,Hássio,270;109,Mt,Meitinério,276;110,Ds,Darmstádio,281;111,Rg,Roentgênio,280;112,Cn,Copernício,285;113,Uut,Ununtrio,284;114,Fl,Fleróvio,289;115,Uup,Ununpentio,288;116,Lv,Livermório,293;117,Uus,Ununséptio,294;118,Uuo,Ununóctio,294:
0;0;0;57,La,Lantânio,138.90547;58,Ce,Cério,140.116;59,Pr,Praseodímio,140.93765;60,Nd,Neodímio,144.242;61,Pm,Promécio,145;62,Sm,Samário,150.36;63,Eu,Európio,151.964;64,Gd,Gadolínio,157.25;65,Tb,Térbio,158.92535;66,Dy,Disprósio,162.500;67,Ho,Hólmio,164.93033;68,Er,Érbio,167.259;69,Tm,Túlio,168.93422;70,Yb,Itérbio,173.054;71,Lu,Lutécio,174.9668:
0;0;0;89,Ac,Actínio,227;90,Th,Tório,232.0377;91,Pa,Protactínio,231.035;92,U,Urânio,238.028;93,Np,Neptúnio,237;94,Pu,Plutônio,244.0642;95,Am,Amerício,243;96,Cm,Cúrio,247;97,Bk,Berquélio,247;98,Cf,Califórnio,251;99,Es,Einstênio,252;100,Fm,Férmio,257;101,Md,Mendelévio,258;102,No,Nobélio,259;103,Lr,Laurêncio,262:
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
